node,heuristic_score
1177,0.00723787
1178,0.503912
1179,0.503912
1180,0.503912
1181,0.503912
1182,0.503912
1183,0.503912
1184,0.0138889
1185,0.503912
1186,0.503912
1187,0.503912
1188,0.503912
1189,0.503912
1190,0.503912
1191,0.503912
1192,0.503912
1193,0.0138889
1194,0.503912
1195,0.0138889
1196,0.503912
1197,0.503912
1198,0.503912
1199,0.503912
1200,0.503912
1201,0.00723787
1202,0.503912
1203,0.503912
1204,0.503912
1205,0.503912
1206,0.503912
1207,0.503912
1208,0.503912
1209,0.503912
1210,0.503912
1211,0.503912
1212,0.503912
1213,0.503912
1214,0.503912
1215,0.503912
1216,0.503912
1217,0.503912
1218,0.503912
1219,0.503912
1220,0.503912
1221,0.503912
1222,0.503912
1223,0.503912
1224,0.503912
1225,0.503912
1226,0.503912
1227,0.00723787
1228,0.503912
1229,0.503912
1230,0.503912
1231,0.503912
1232,0.503912
1233,0.503912
1234,0.503912
1235,0.503912
1236,0.503912
1237,0.503912
1238,0.503912
1239,0.503912
1240,0.503912
1241,0.00723787
1242,0.503912
1243,0.503912
1244,0.503912
1245,0.503912
1246,0.503912
1247,0.503912
1248,0.503912
1249,0.503912
1250,0.503912
1251,0.503912
1252,0.503912
1253,0.0138889
1254,0.503912
1255,0.503912
1256,0.503912
1257,0.00723787
1258,0.503912
1259,0.503912
1260,0.0205399
1261,0.503912
1262,0.503912
1263,0.503912
1264,0.503912
1265,0.503912
1266,0.0305164
1267,0.00723787
1268,0.503912
1269,0.503912
1270,0.503912
1271,0.503912
1272,0.503912
1273,0.503912
1274,0.503912
1275,0.503912
1276,0.503912
1277,0.503912
1278,0.503912
1279,0.0205399
1280,0.0238654
1281,0.503912
1282,0.503912
1283,0.503912
1284,0.503912
1285,0.0105634
1286,0.503912
1287,0.503912
1288,0.503912
1289,0.503912
1290,0.503912
1291,0.503912
1292,0.503912
1293,0.503912
1294,0.00723787
1295,0.503912
1296,0.503912
1297,0.503912
1298,0.503912
1299,0.503912
1300,0.503912
1301,0.503912
1302,0.503912
1303,0.503912
1304,0.503912
1305,0.503912
1306,0.0438185
1307,0.503912
1308,0.503912
1309,0.0338419
1310,0.503912
1311,0.503912
1312,0.503912
1313,0.503912
1314,0.503912
1315,0.503912
1316,0.503912
1317,0.503912
1318,0.503912
1319,0.503912
1320,0.503912
1321,0.503912
1322,0.503912
1323,0.503912
1324,0.503912
1325,0.503912
1326,0.503912
1327,0.503912
1328,0.503912
1329,0.503912
1330,0.503912
1331,0.503912
1332,0.503912
1333,0.503912
1334,0.503912
1335,0.503912
1336,0.503912
1337,0.503912
1338,0.503912
1339,0.503912
1340,0.503912
1341,0.503912
1342,0.00723787
1343,0.503912
1344,0.503912
1345,0.503912
1346,0.503912
1347,0.503912
1348,0.503912
1349,0.503912
1350,0.503912
1351,0.503912
1352,0.503912
1353,0.00723787
1354,0.0205399
1355,0.503912
1356,0.503912
1357,0.503912
1358,0.503912
1359,0.503912
1360,0.503912
1361,0.503912
1362,0.503912
1363,0.503912
1364,0.503912
1365,0.503912
1366,0.503912
1367,0.503912
1368,0.503912
1369,0.503912
1370,0.503912
1371,0.503912
1372,0.503912
1373,0.503912
1374,0.503912
1375,0.503912
